AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Ranipet,41,GEN,Vellore,GANDHI.R,Dravida Munetra Kazhagam,,190742,,7896,4.1%
Arcot,42,GEN,Vellore,ESWARAPPAN J L,Dravida Munetra Kazhagam,,203392,,11091,5.5%
Vellore,43,GEN,Vellore,KARTHIKEYAN,Dravida Munetra Kazhagam,,171279,,26210,15.3%
Anaikattu,44,GEN,Vellore,NANDAKUMAR A P,Dravida Munetra Kazhagam,,11563,,8768,75.8%
Kilvaithinankuppam,45,SC,Vellore,LOGANATHAN.G,All India Anna Dravida Munnetra Kazhagam,,165226,,9746,5.9%
Gudiyattam,46,SC,Vellore,JAYANTHI PADMANABHAN .C,All India Anna Dravida Munnetra Kazhagam,,194988,,11470,5.9%
Vaniyambadi,47,GEN,Vellore,NILOFER,All India Anna Dravida Munnetra Kazhagam,,172638,,14526,8.4%
Ambur,48,GEN,Vellore,BALASUBRAMANI,All India Anna Dravida Munnetra Kazhagam,,161075,,28006,17.4%
Jolarpet,49,GEN,Vellore,VEERAMANI.K.C.,All India Anna Dravida Munnetra Kazhagam,,181084,,10991,6.1%
Tirupattur,50,GEN,Vellore,NALLATHAMBI. A,Dravida Munetra Kazhagam,,177843,,7647,4.3%
Uthangarai,51,SC,Krishnagiri,N.MANORANJITHAM,All India Anna Dravida Munnetra Kazhagam,,180616,,2613,1.4%
Bargur,52,GEN,Krishnagiri,V.RAJENDRAN,All India Anna Dravida Munnetra Kazhagam,,188056,,982,0.5%
Krishnagiri,53,GEN,Krishnagiri,SENGUTTUVAN.T,Dravida Munetra Kazhagam,,200092,,4891,2.4%
Veppanahalli,54,GEN,Krishnagiri,MURUGAN P,Dravida Munetra Kazhagam,,193325,,5228,2.7%
Hosur,55,GEN,Krishnagiri,BALAKRISHNA REDDY P,All India Anna Dravida Munnetra Kazhagam,,215231,,22964,10.7%
Thalli,56,GEN,Krishnagiri,"PRAKAASH,Y.",Dravida Munetra Kazhagam,,189350,,6245,3.3%
Palacode,57,GEN,Dharmapuri,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,,188767,,5983,3.2%
Pennagaram,58,GEN,Dharmapuri,INBASEKARAN. P.N.P.,Dravida Munetra Kazhagam,,199635,,18446,9.2%
Dharmapuri,59,GEN,Dharmapuri,SUBRAMANI. P.,Dravida Munetra Kazhagam,,207476,,9676,4.7%
Pappireddippatti,60,GEN,Dharmapuri,PALANIYAPPAN. P,All India Anna Dravida Munnetra Kazhagam,,208754,,12713,6.1%
